Track,Artist,Spotify Streams,Spotify Popularity,Spotify Playlist Count,TikTok Posts,TikTok Likes,TikTok Views,Track Score,All Time Rank
No Hay Nadie Mï¿½,Sebastian Yatra,546219103,69.0,43372,274799,25654892,222363120,30.3,2239
Rather Be (feat. Jess Glynne),Clean Bandit,1327093253,70.0,188363,1072310,146302323,1196196511,30.3,2236
Into Your Arms (feat. Ava Max),Witt Lowry,390529605,67.0,68181,4480319,1314071004,15189209474,30.3,2232
Ramenez la coupe ï¿½ï¿½ la ma,Vegedream,482859077,62.0,154354,671494,224089888,3084440795,30.3,2233
1000 Blunts,$uicideboy$,189588270,72.0,43837,190,31952,432059,30.3,2237
#BrooklynBloodPop!,SyKo,289085486,62.0,76485,1939369,289578955,2184568318,30.3,2230
Baby Songs,Baby Lullaby,5484513,27.0,36,2,6990,35885,30.3,2227
Mï¿½ï¿½dchen auf dem P,Luca-Dante Spadafora,119141939,67.0,46323,58,89658,1318558,30.3,2226
Cuando Te Besï¿,Becky G,588021470,63.0,51865,118917,6274016,58539891,30.3,2240
Clout (feat. Cardi B),Offset,306221125,58.0,61432,126257,15711039,90607937,30.3,2231
One Last Time,Ariana Grande,1465918510,77.0,110953,74689,39669684,285511671,30.2,2243
Malas Decisiones,Kenia OS,249199925,68.0,15573,1093900,310175951,3326289021,30.2,2246
Dos Mil 16,Bad Bunny,426904285,71.0,50219,241013,89404506,679567159,30.2,2249
La Vaca Lola,Toy Cantando,38260236,55.0,3255,22366,1533921,72165422,30.2,2250
Termina Comigo Antes,Gusttavo Lima,194919563,63.0,12885,60675,4714394,61427214,30.2,2241
Baarish,Payal Dev,12208412,41.0,1424,5941101,17311643,278475456,30.2,2244
ZITTI E BUONI,Mï¿½ï¿½ne,475549122,69.0,94637,139573,75858814,628509922,30.2,2242
Feel It Still,Portugal. The Man,1303452422,74.0,204110,77757,60080391,447512595,30.1,2263
MotorSport,Migos,590983645,62.0,89159,266811,63415889,417482479,30.1,2262
Bad At Love,Halsey,635393773,59.0,56371,487927,11620804,84632348,30.1,2265
Nevada,YoungBoy Never Broke Again,163974630,64.0,60031,20233,5083710,48854928,30.1,2251
The Adults Are Talking,The Strokes,457933102,76.0,152115,186563,88889806,521061584,30.1,2264
Hips Don't Lie (feat. Wyclef Jean),Shakira,1631152967,80.0,261693,2393712,306451930,2939466349,30.1,2257
Overdose,natori,191425175,62.0,26630,183701,53658710,662260750,30.1,2259
Tak Segampang Itu,Anggi Marito,415357981,74.0,14918,399388,88921840,1171868533,30.1,2253
Emotionally Scarred,Lil Baby,289652584,63.0,93481,33861,6143414,40742074,30.1,2261
When It Rains It Pours,Luke Combs,807802864,78.0,93613,29070,5193789,42065642,30.1,2258
If I Didn't Love You,Jason Aldean,143447350,60.0,22233,2017,1558730,15893357,30.0,2268
NO ME QUIERO CASAR,Bad Bunny,144801283,73.0,20979,1380,750523,7437994,30.0,2269
UNHEALTHY (feat. Shania Twain),Anne-Marie,107435709,60.0,18457,7316,5194441,79827003,30.0,2274
ATORRANTE - con Los Palmeras,Emanero,65617109,61.0,7487,291,711415,33073512,30.0,2280
Roses,The Chainsmokers,1046848265,68.0,137023,273486,55726548,405625969,30.0,2270
Close Friends (Lil Baby & Gunna),Lil Baby,428009373,65.0,99524,47897,7172209,46571795,30.0,2267
BEBï¿,Camilo,401104048,66.0,42742,1002990,85197306,718042201,30.0,2277
Propuesta Indecente,Romeo Santos,751508028,74.0,76654,110257,23003530,240862996,30.0,2266
Atmosphere,FISHER,105178211,70.0,40300,6091,770581,11685263,30.0,2278
Eid,Mehmood J,10762,4.0,5,3400423,19977613,274491219,30.0,2273
Money In The Grave (Drake ft. Rick Ross),Drake,970219741,70.0,180650,123248,45510979,371952869,30.0,2275
ýýýýýýýýýý ýýýý ýýýýýý ýýýýýýýý,ýýýýýýýýýý ýýýýýýýý,468162,24.0,114,2500000,5971244,183524720,30.0,2279
Happier,Ed Sheeran,1322385342,70.0,109373,1289662,34964865,223959183,29.9,2287
Kill Em With Kindness,Selena Gomez,550049388,56.0,48598,8126848,61193582,489745782,29.9,2290
Good Love,Hannah Laing,100186243,70.0,26116,10300,1602940,28216441,29.9,2296
Little Girl Gone,CHINCHILLA,100397677,68.0,21963,855579,97764564,975465555,29.9,2297
Ella Quiere Beber - Remix,Anuel AA,778846570,70.0,66150,24500,1838702,18692923,29.9,2299
Blicky,Fresh X Reckless,19617254,40.0,6378,2272645,310986195,2956553569,29.9,2292
Baby (Lil Baby feat. DaBaby),Quality Control,522143496,68.0,111477,55471,10916015,125604010,29.9,2294
Hotel,Montell Fish,296674882,74.0,56660,124659,58661300,366838888,29.9,2291
Mas Altas Que Bajadas,Natanael Cano,157476564,71.0,15069,13700,8423736,52545729,29.9,2288
Somewhere Only We Know,Gustixa,53532212,43.0,9646,1952800,122253971,1659044866,29.9,2286
X1,MC Cabelinho,185050407,62.0,30221,542800,23727816,249329094,29.9,2285
Burn,Ellie Goulding,784334383,68.0,104998,46749,17751306,112921980,29.8,2306
By Your Side,Rod Wave,164804108,60.0,40909,24901,7795076,50358850,29.8,2303
No Te Contaron Mal,Christian Nodal,492542256,68.0,37141,22565,2240493,34264578,29.8,2312
When We Were Young,Adele,1284096603,71.0,117365,51713,51633844,348333229,29.8,2305
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,210072827,74.0,30503,54106,6277486,92174906,29.8,2302
I Am Your Gummy Bear (The Gummy Bear Song),Gummibï¿½,104073182,57.0,11904,384946,83486676,1565261998,29.8,2307
Do It Again (feat. 2Rare),NLE Choppa,155142115,60.0,65297,143228,121730150,1073599652,29.8,2313
Loading,Central Cee,356681497,65.0,137745,62042,21340597,200676951,29.8,2311
Tek Tek (feat. MHD),DYSTINCT,69208147,59.0,30635,137811,11380386,226312722,29.7,2326
Dos Besitos,La Joaqui,100335960,56.0,18928,1050557,214890689,2147808820,29.7,2320
Deep Down (feat. Never Dull),Alok,335203899,76.0,61133,9193,17617670,262461997,29.7,2318
No Me Conoce - Remix,Jhay Cortez,1367265268,75.0,135811,103451,12539244,109739416,29.7,2322
Freaky Friday (feat. Chris Brown),Lil Dicky,670298052,65.0,82446,228686,19209732,160522923,29.7,2321
Still Rollin,Shubh,191465461,69.0,18344,211500,7326210,144465879,29.7,2325
Safe And Sound,Capital Cities,1286089822,78.0,256512,226012,94442871,774957680,29.7,2317
Teeth,5 Seconds of Summer,683247723,71.0,103554,252245,60889240,561046941,29.7,2315
I Took A Pill In Ibiza,Mike Posner,83366020,49.0,17799,627579,6349028,29251104,29.7,2316
Run Free,Deep Chills,86943003,55.0,17950,10476200,356589615,5311932536,29.6,2334
In The Dark,Purple Disco Machine,177722624,59.0,34102,7268,1055159,20533718,29.6,2330
Felina,WIU,227079649,63.0,35385,298000,27867511,299633568,29.6,2331
Meet you at the Graveyard,Cleffy,95871805,14.0,21000,111800,28044301,187420165,29.6,2327
Se Le Ve,Dï¿½ï¿½melo ,240138585,56.0,43572,1845758,267131680,3307238247,29.6,2332
Coraï¿½ï¿½ï¿½ï¿½o,WIU,239669425,63.0,30426,223700,26184927,378296874,29.6,2333
FEARLESS,LE SSERAFIM,312942305,62.0,20231,107047,152757714,1245609565,29.6,2328
Let It Go,James Bay,1197774081,65.0,128593,91701,14356531,112554627,29.5,2338
Where It Ends,Bailey Zimmerman,178441881,75.0,28857,62371,17306191,161742703,29.5,2343
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),L7NNON,86262202,53.0,17907,3048900,208928001,2990547999,29.5,2340
City Boys,Burna Boy,152289860,69.0,58113,620950,37260289,546510983,29.5,2342
Wellerman - Sea Shanty,Nathan Evans,405754991,66.0,103694,113523,28646084,166376605,29.5,2336
Every Summertime,NIKI,383171089,70.0,60923,1733862,271687291,2493175114,29.5,2346
Walk It Talk It,Migos,778459270,67.0,150813,357960,114633196,873289436,29.5,2337
Face Off,Tech N9ne,194908788,59.0,58039,1004500,614002238,5338367302,29.5,2347
Otra vez (feat. J Balvin),Zion & Lennox,912446776,67.0,48788,70829,2778349,27776697,29.5,2345
BOOKER T,Bad Bunny,403041493,66.0,62435,467766,137827484,1329875404,29.4,2351
"24/7, 365",elijah woods,91124161,71.0,12758,614000,19960842,303931523,29.4,2359
Je M'appelle,Benzz,231745345,65.0,83611,87017,32191365,354699237,29.4,2358
Soap,Melanie Martinez,349538935,67.0,48604,12087056,218008359,2568929437,29.4,2349
Never Forget You,Zara Larsson,972089598,66.0,98962,117848,15092890,118233698,29.4,2348
Tyler Herro,Jack Harlow,555631717,66.0,127984,31218,16324267,148481502,29.4,2355
"i hate u, i love u (feat. olivia o'brien)",gnash,1405772026,70.0,122979,2081859,34705627,240189266,29.4,2354
Ophelia,The Lumineers,1274848626,70.0,213943,49941,30833392,234589315,29.4,2350
Ella No Es Tuya - Remix,Rochy RD,364856266,62.0,76669,1403400,122737092,1045339221,29.4,2353
Satellite,Harry Styles,455718141,70.0,51605,159300,64041346,440110491,29.3,2373
La Santa,Bad Bunny,915557792,75.0,96498,13000,8552412,69210381,29.3,2361
Tera Ban Jaunga,Akhil Sachdeva,211095929,63.0,15632,5710312,5797183,94600665,29.3,2372
Monï¿½ï¿½y so,Yeat,378668802,71.0,110916,96000,82992212,658699167,29.3,2368
Sure Thing,Miguel,1335928309,81.0,190857,235546,71440021,595426317,29.3,2362
Talibans,Byron Messia,54683202,61.0,28810,73400,6149280,85578368,29.3,2371
Love Story (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,763292840,74.0,71179,580400,238529478,2195330963,29.3,2363
Escapism. - Sped Up,RAYE,270327239,66.0,47167,309300,181625399,1908957097,29.3,2376
Lisa,Young Miko,209988103,67.0,30013,9195,10364955,87467392,29.3,2365
you should see me in a crown,Billie Eilish,860596912,71.0,103375,477025,50997364,397345798,29.3,2370
Te Robarï¿,Nicky Jam,547483874,61.0,59096,4927,334324,5221834,29.3,2366
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,853574945,73.0,46385,1097599,131435469,1181845727,29.2,2377
Dandelions,Ruth B.,1561518107,82.0,183674,2320661,904381932,7603775552,29.2,2383
Malvada,Zï¿½ï¿½ Fe,166427224,53.0,17110,660700,105899920,1504623313,29.2,2382
I Love You So,The Walters,1410353130,83.0,218492,744614,445675563,3241952947,29.2,2394
i love you,Billie Eilish,930343185,75.0,116055,451642,85881445,724117161,29.2,2390
Not Fair,Niklas Dee,164667038,69.0,46918,11100,1242953,14577073,29.2,2392
Him & I (with Halsey),G-Eazy,949651805,72.0,141296,217707,69515791,529467091,29.2,2384
Call Your Friends,Rod Wave,47296342,46.0,10429,39420,4468377,37869926,29.2,2395
Rosa Pastel,Peso Pluma,192231633,65.0,22780,9007,2993894,32536991,29.2,2391
Dirt Cheap,Cody Johnson,44047842,11.0,8961,48500,1058781,8486978,29.2,2387
Borderline,Tame Impala,671310199,76.0,156377,248652,114555453,961188514,29.2,2380
Tï¿,Carin Leon,327311508,68.0,31216,200001,16337762,271173077,29.2,2393
No Time To Die,Billie Eilish,610838644,70.0,91391,13840,9454140,69072143,29.2,2388
En El Radio Un Cochinero,Victor Cibrian,215837483,61.0,26581,227800,63866568,1027674393,29.1,2399
Safari,J Balvin,559708419,65.0,61743,83679,24066770,148552468,29.1,2402
comethru,Jeremy Zucker,822935346,69.0,90889,992278,67178938,581871422,29.1,2405
Boy's a liar,PinkPantheress,203628716,62.0,39800,779078,350397327,2935382291,29.1,2400
O Patinho Colorido,Bento e Totï¿,11029541,52.0,2068,42700,2328242,38710313,29.1,2396
La Mejor Version de Mi,NATTI NATASHA,109221089,66.0,33020,740743,14861761,284819297,29.1,2398
B.O.T.A. (Baddest Of Them All),Eliza Rose,47723324,52.0,34495,1100254,330038147,3829712483,29.1,2397
Lucky Girl Syndrome,ILLIT,29089538,72.0,1933,2906,2701200,28210200,29.0,2408
Little Dark Age,MGMT,641453269,72.0,197169,345093,300840293,2500579993,29.0,2415
Hypnotized,Purple Disco Machine,354683755,58.0,77323,16828,3791734,43216239,29.0,2419
ELEVEN,IVE,306760464,66.0,23542,121090,160432414,1292286614,29.0,2407
Space Cadet (feat. Gunna),Metro Boomin,917916061,75.0,204396,41674,56229098,405647527,29.0,2416
ýýýýýýýýýýýý ýýýýýýýýýýýý,Lusia Chebotina,32318892,51.0,13584,1300000,103763490,2526424724,29.0,2421
We Ride,Bryan Martin,200017368,76.0,30976,31143,1516946,27411983,29.0,2414
Rich Spirit,Kendrick Lamar,254191262,71.0,68188,19580,2720712,33984850,28.9,2437
Cochinae,Julianno Sosa,155050178,58.0,35527,364400,175847558,1442464830,28.9,2438
Juju On That Beat (TZ Anthem),Zay Hilfigerrr,243305603,52.0,30216,165046,16623062,54450631,28.9,2427
I'm Not The Only One,Sam Smith,1879966374,77.0,164059,65764,52262804,417275446,28.9,2428
Murder,Bgnzinho,2613573,37.0,1475,2226114,181896286,2582559682,28.9,2431
Major Distribution,Drake,199662854,62.0,70800,11861,11825705,100007156,28.9,2430
Dynamite,Taio Cruz,1070923216,69.0,204514,79570,20716110,185228504,28.9,2439
Chlorine,Twenty One Pilots,517990518,68.0,91490,65628,7573964,67549016,28.9,2425
GIVENCHY,Duki,240519561,62.0,48629,46349,38804922,313936580,28.9,2436
Here,Alessia Cara,616445374,65.0,76646,1315832,22887140,166158568,28.9,2441
Favorito,Camilo,488713982,58.0,42311,915770,74872273,712167034,28.9,2435
Royalty,Egzod,317252487,74.0,52261,663619,152831129,1989420692,28.9,2432
Am I Wrong,Nico & Vinz,965827790,71.0,160031,204916,87657079,930985864,28.9,2440
Tennessee Orange,Megan Moroney,227893586,73.0,28139,77661,13324305,117505652,28.9,2424
Still Trappin' (with King Von),Lil Durk,176140377,61.0,76081,9759,1195071,12014523,28.8,2448
YUM YUM (Slowed),LXNGVX,52295701,64.0,10792,662600,63872371,573262137,28.8,2450
Issues,Julia Michaels,1214862854,69.0,86990,966301,28171505,142981272,28.8,2446
Element,Pop Smoke,523416171,68.0,164690,146034,25129610,223524052,28.8,2457
GOD'S COUNTRY,Travis Scott,96802469,64.0,34681,2052,1668880,10714123,28.8,2455
Parado no Bailï¿½,MC L da Vinte,387513964,68.0,87059,2508649,432161011,5294479343,28.8,2442
F Boy,Ander Huang,1415206,19.0,973,6501183,161122861,2181208314,28.8,2451
"Yo x Ti, Tu x Mi",ROSALï¿½,572697124,65.0,76099,198900,19271618,125501807,28.8,2452
Say It,Tory Lanez,510138748,70.0,83010,44861,11918324,63978184,28.8,2447
Ain't Shit,Doja Cat,599547543,70.0,90475,139585,104260172,557527051,28.8,2454
Dancing With Your Ghost,Sasha Alex Sloan,573785235,71.0,104197,3623560,106517866,1230812968,28.8,2458
SIRENS,Travis Scott,102510409,65.0,39218,1541,902391,8554938,28.8,2449
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,Matuï¿,159579530,67.0,29495,21800,7387254,68969483,28.8,2453
I Love Mama Mantu,Bulan Sutena,8887656,37.0,1905,3700000,116906472,1978705486,28.7,2468
Hall of Fame (feat. will.i.am),The Script,1438795892,78.0,180669,2359429,309258236,2876399321,28.7,2465
Original som fan,OP,37291,3.0,93,9624729,1787230708,12110114842,28.7,2466
Deixa,Maria Marï¿½ï,64736609,67.0,4611,65367,3439863,67989343,28.7,2467
We Didnï¿½ï¿½ï¿½t Start Th,Fall Out Boy,52240739,59.0,18224,9851,8607238,71305547,28.7,2464
Runaway (U & I),Galantis,895051532,72.0,155100,161963,82136522,730346946,28.7,2469
Ley Seca,Jhay Cortez,412597562,66.0,80841,54784,15795689,201664757,28.7,2462
Dawns (feat. Maggie Rogers),Zach Bryan,261468916,75.0,44088,86609,19696611,127691196,28.7,2461
Numb,Linkin Park,1720830668,80.0,270810,440206,37487815,490782499,28.7,2472
Hola,Dalex,28185177,42.0,6572,37518,2306029,20930088,28.6,2483
Dark Red,Steve Lacy,1315024190,80.0,261850,114388,94977654,558037837,28.6,2475
Diosa,Myke Towers,465811322,66.0,70596,342400,17063916,196656614,28.6,2484
Wagon Wheel,Darius Rucker,727417273,73.0,107826,51203,14475594,101847028,28.6,2477
Dil Galti Kar Baitha Hai,Jubin Nautiyal,64013323,53.0,5573,1807,257436,4052529,28.6,2482
Is There Someone Else?,The Weeknd,669099980,76.0,87216,771,6034599,101980300,28.6,2485
Dream Girl,Ir Sais,133061000,54.0,41010,8549427,390884822,3983988990,28.6,2481
Wild Side (feat. Cardi B),Normani,181529121,60.0,36504,117317,51611106,406413864,28.6,2476
Bi' Tek Ben Anlarï¿½,Kï¿½ï,214391030,58.0,27588,315600,8311405,196090529,28.6,2480
Location (feat. Burna Boy),Dave,540907681,70.0,169023,29890,7358053,65403430,28.5,2490
Mon Amour,Annalisa,86387703,56.0,9584,757539,21805849,376919346,28.5,2488
Pray For Me,The Weeknd,918478800,71.0,139420,30374,19369827,164140502,28.5,2491
Motley Crew,Post Malone,399297877,66.0,98593,17033,10213659,90781226,28.5,2486
Poppin,Yeat,152999496,63.0,61870,29807,19583763,165647395,28.5,2493
Memories,Conan Gray,445742307,72.0,68570,118871,53270295,299317588,28.5,2494
Roï¿½ï¿½a Em,Zï¿½ï¿½ Fe,192684719,63.0,15067,224000,35623717,547404253,28.4,2502
"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,52418564,57.0,24196,1606103,28958781,375062387,28.4,2498
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,349688559,60.0,77636,538219,83527860,643169528,28.4,2499
10 Things I Hate About You,Leah Kate,238502829,4.0,38595,1569194,185586256,2205444414,28.4,2496
X ï¿½ï¿½LTIMA,Daddy Yankee,409394001,64.0,53657,442700,135938706,1334863571,28.3,2503
Lalala - Ilkan Gunuc Remix,Y2K,28240865,49.0,9377,7210799,121538491,1680010594,28.3,2515
Poco A Poco,Xavi,283079113,82.0,15570,84726,9560738,60287119,28.3,2514
Red Ruby Da Sleeze,Nicki Minaj,148574146,59.0,25770,6500,2704073,21611489,28.3,2504
Mama,Jonas Blue,955563174,67.0,89780,29802,16031731,85857976,28.3,2509
Puta Mexicana,DJ Jeeh FDC,172602494,63.0,38926,312400,143003405,1722398168,28.3,2508
Self Care,Mac Miller,687861392,70.0,156992,56852,19118562,193776994,28.3,2516
Out of Time,The Weeknd,451878749,70.0,78793,23842,20880385,233301151,28.3,2507
About You,The 1975,350348521,75.0,48286,117002,112061372,793536731,28.3,2506
BED,Joel Corry,480737112,66.0,91401,90700,11811407,149754997,28.3,2512
23,Chayce Beckham,217524988,69.0,52661,20410,1883404,21694150,28.3,2511
Remember,Becky Hill,453644642,67.0,78241,14109,6520234,86516663,28.2,2529
Here's Your Perfect,Jamie Miller,418998816,69.0,42598,810145,216927258,1962424177,28.2,2523
Highs & Lows,Prinz,64747926,63.0,19758,726042,24154119,304170641,28.2,2530
Impossible,RIIZE,16327372,69.0,987,5892,11035987,64226700,28.2,2533
El Rescate,Grupo Marca Registrada,391773238,69.0,34952,431726,98990436,1102477168,28.2,2528
Wockesha,Moneybagg Yo,138100044,56.0,64635,30274,13135047,94781829,28.2,2518
Pantysito,Alejo,332175085,66.0,63085,378000,93005063,866018385,28.2,2526
brutal,Olivia Rodrigo,639900946,73.0,87550,180855,114118319,774173668,28.2,2524
Recognize (feat. Drake),PARTYNEXTDOOR,275465440,65.0,58725,64277,8127616,53454696,28.2,2531
Lovefool,twocolors,359757970,62.0,73161,621587,49479727,658030330,28.2,2519
MEMORIAS,Mora,359336745,70.0,67125,20600,9094523,82205989,28.2,2527
Mood Malandro,Cï¿½ï¿½dig,188309858,71.0,15111,100,1927,18855,28.1,2538
JACKIE BROWN,Brent Faiyaz,247386146,70.0,57298,25012,12211067,119045728,28.1,2542
Danï¿½ï¿½a Ma,Bolofofos,10423140,49.0,1820,3453,49425,3059373,28.1,2536
Never Going Home,Kungs,304069347,63.0,89224,20117,6207518,94926621,28.1,2539
Problemï¿½,Alvaro Diaz,275492185,68.0,47297,1698681,279415195,2603158294,28.1,2548
Pacto (feat. Luar La L),Jay Wheeler,58652026,54.0,19596,508800,31900743,344636407,28.1,2547
Daisy,Ashnikko,509353753,63.0,87580,893392,124467502,842856226,28.1,2543
Fast Forward,JEON SOMI,88499180,59.0,9715,58748,54797372,291191318,28.0,2556
Stolen Dance,Milky Chance,1460945792,76.0,331171,677541,194210296,2134365963,28.0,2558
Set Me Free Pt.2,Jimin,350802342,76.0,12581,182865,104841360,494628703,28.0,2554
Azul,J Balvin,489654759,63.0,60072,731500,39869163,491920895,28.0,2557
LOCATION,KAROL G,236644328,50.0,36130,182529,34209228,329180615,28.0,2551
Terminator,King Promise,34026239,58.0,8723,1047639,28395882,391501573,28.0,2559
Snowman,Sia,947770190,69.0,123852,1972101,644731553,5479108705,28.0,2561
Hurricane,Kanye West,404497617,62.0,108795,20272,10266783,91838300,28.0,2549
Rumah Singgah,Fabio Asher,239624643,67.0,13095,1205145,227531657,3306847230,28.0,2550
Strip That Down (feat. Quavo),Liam Payne,1000549809,63.0,86051,348584,29551464,181309829,28.0,2560
Lost in the Fire (feat. The Weeknd),Gesaffelstein,895496661,75.0,158437,118739,61383164,500515994,27.9,2564
Diva Yorgun,Melike ï¿½ï¿½,62458329,58.0,7526,11529,693244,25252458,27.9,2574
Dilemma,Nelly,859999247,74.0,170136,199632,36725930,368297203,27.9,2573
My wrist (with Young Thug),Yeat,83393310,64.0,32703,1618,985058,9909365,27.9,2572
GigaChad Theme - Phonk House Version,g3ox_em,282776356,69.0,45283,64,255172,1672858,27.9,2571
Jackie Chan,Tiï¿½ï¿,867318774,66.0,122200,642448,9941160,91008651,27.9,2562
Words (feat. Zara Larsson),Alesso,383945607,72.0,58627,20633,9518866,159467861,27.9,2563
Bombonzinho - Ao Vivo,Israel & Rodolffo,343704935,61.0,21379,176878,8502888,153392985,27.9,2576
OJALï¿,Maria Becerra,168710415,56.0,16559,72000,24990011,248098853,27.8,2579
Bejeweled,Taylor Swift,536110386,71.0,32472,791802,171672855,1573795763,27.8,2577
Heaven,Kane Brown,492361216,66.0,43773,107020,5665191,74609105,27.8,2584
FERXXO 151,Feid,106899723,64.0,23959,34200,3566805,44045683,27.8,2587
Young And Beautiful,Lana Del Rey,1256488099,80.0,158078,301881,104232046,881937736,27.8,2586
United In Grief,Kendrick Lamar,246425341,71.0,81509,108559,43090164,342828836,27.8,2578
Drunk in Love,Beyoncï¿,607315454,67.0,73281,42655,24392560,200100315,27.8,2588
Kaikai Kitan,Eve,404765225,68.0,64972,119922,70942249,561999669,27.7,2596
Opp Stoppa (feat. 21 Savage),YBN Nahmir,246949197,64.0,80591,5645,715700,4922539,27.7,2603
Mary On A Cross,Ghost,589145587,71.0,130464,81149,90157158,569986027,27.7,2594
Go Fuck Yourself,Two Feet,649191183,68.0,160382,795603,151017071,1557145950,27.7,2591
Antidepresan,Mert Demir,172362945,62.0,25648,293300,15092029,428987615,27.7,2605
Rise,Jonas Blue,872518334,64.0,93636,23063,2845186,36403946,27.7,2592
Summertime Sadness,Lana Del Rey,1442872605,79.0,204954,423666,173066210,1549975311,27.7,2606
8:00 AM,Nicki Nicole,135465283,63.0,20671,197600,59387239,500108092,27.7,2601
Double Fantasy (with Future),The Weeknd,180940067,66.0,36631,4000,5091663,47997951,27.7,2597
Thank You for Being You,OctaSounds,2248788,43.0,739,2863057,70652797,1050704352,27.7,2602
Wild as Her,Corey Kent,180186017,66.0,32769,33689,1974569,23448462,27.6,2614
Beautiful (feat. Camila Cabello),Bazzi,737482160,66.0,55335,3214979,189904593,2189766597,27.6,2611
Summertime Sadness (Sped Up),Lana Del Rey,68235585,59.0,10765,671,220759,1468789,27.6,2613
Ignorantes,Bad Bunny,671572185,62.0,88857,10203,4124925,26125487,27.6,2618
Break Free,Ariana Grande,899830382,70.0,96199,131095,50779178,371404445,27.6,2610
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,286381494,61.0,54422,517875,137985248,1257208158,27.6,2615
Acapulco,Jason Derulo,442260324,65.0,67318,42377,35703303,310298540,27.6,2608
GHOST TOWN,Benson Boone,382177076,66.0,65369,146179,60677641,629205287,27.6,2612
Bande organisï¿½,13 Organisï¿,267241905,63.0,62950,5066,641873,12209681,27.5,2625
Only Human,Jonas Brothers,508463163,65.0,58919,27246,6682986,45970559,27.5,2634
Daddy Issues,The Neighbourhood,1435372572,80.0,239555,252108,196480803,1122697302,27.5,2627
Cha Cha Cha,Kï¿½ï¿½ï¿½,143311775,66.0,42463,78568,18889271,304146444,27.5,2624
Raining In Manila,Lola Amour,136169854,63.0,11506,279014,57862276,567845644,27.5,2633
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,1120187276,70.0,153725,1758196,369847461,2745676769,27.5,2626
Everybody make some Tik Tok,Bounce Oï¿½ï¿½ï¿,532262,13.0,481,8288070,108201976,2218181933,27.5,2621
Another Love (Tiï¿½ï¿½sto Re,Tom Odell,141141890,67.0,32658,1662320,900971288,8556410580,27.5,2620
Tu Aake Dekhle,King,410639967,69.0,33664,132004,4491970,61728216,27.5,2629
Viva La Vida,Coldplay,2102223775,80.0,335772,1619542,244469571,2264301241,27.5,2619
Nice to Meet You,Imagine Dragons,15062636,75.0,1446,1034,570876,6372350,27.5,2623
Verte Ir,DJ Luian,550967367,64.0,65928,11200,1930550,20847094,27.5,2622
Pink + White,Frank Ocean,1299650856,83.0,228950,130802,68303456,442090971,27.4,2642
Mother,Meghan Trainor,79738242,57.0,12390,702284,224708419,2678819017,27.4,2640
Flashback (feat. Gazo),Favï¿,88014813,66.0,16418,99500,3276455,26517142,27.4,2654
Space Song,Beach House,1099069598,73.0,261122,496525,338753643,2588157478,27.4,2646
Chill Bill,Rob $tone,843861768,70.0,155472,18775,2669418,16756000,27.4,2649
My Way,Calvin Harris,1014534913,73.0,132592,453551,10268320,56011096,27.4,2636
Big City Life,Luude,181323700,65.0,71547,37362,12550708,160730392,27.4,2653
'Till I Collapse,Eminem,1958809069,79.0,282888,41045,6151095,54356279,27.4,2651
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,662257934,71.0,113043,707886,215370319,1511650572,27.4,2655
Jumbotron Shit Poppin,Drake,126296463,62.0,44782,23780,8679451,70817893,27.4,2635
La Nota,Manuel Turizo,560949285,64.0,80872,267500,58834137,576560432,27.4,2648
Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,346860422,65.0,29735,18009,4833780,73588039,27.4,2644
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,223652808,70.0,18262,85400,75312218,705088821,27.4,2639
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,478756,21.0,207,2000000,13777952,193347455,27.4,2652
Sex Music,Tank,5283089,30.0,920,377,21957,482153,27.4,2638
Porfa,Feid,396184710,65.0,62515,712,216831,1796651,27.3,2661
P power (feat. Drake),Gunna,307122295,69.0,91786,142300,49947875,327835388,27.3,2671
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,247056218,69.0,19231,139100,34732272,386594049,27.3,2673
Derniï¿½ï¿½re d,Indila,410783411,72.0,84509,309984,152093157,1251931456,27.3,2672
Fight Song,Rachel Platten,897794289,69.0,92326,2209428,115034762,1021462418,27.3,2670
Satu Rasa Cinta,Happy Asmara,3451208,37.0,248,2410953,11483292,319066421,27.3,2662
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,765374782,67.0,69032,77443,6020979,43199667,27.3,2665
Losing It,FISHER,523954769,67.0,213614,44648,32897654,313069043,27.3,2668
MATHEMATICAL DISRESPECT,Lil Mabu,165642949,62.0,39238,202400,91978574,709390008,27.3,2657
